date,US$/MB,Year,Month
2003.17,0.258,2003,Mar25
2003.58,0.191,2003,Aug19
2003.75,0.219,2003,Oct1
2004,0.191,2004,Jan
2004.17,0.238,2004,Mar16
2004.33,0.266,2004,May4
2004.42,0.223,2004,Jun8
2005.5,0.0762,2005,July
2006.33,0.0219,2006,May25
2006.67,0.0156,2006,Sep1
2006.83,0.0146,2006,Nov25
2007,0.0122,2007,Jan28
2007.17,0.0104,2007,Mar15
2007.33,0.0105,2007,May7
2007.5,0.00976,2007,July9
2007.67,0.00805,2007,Sep30
2007.75,0.00763,2007,Oct16
2007.83,0.00732,2007,Nov10
2007.92,0.00763,2007,Dec5
2008,0.00458,2008,Jan18
2008.08,0.00463,2008,Feb20
2008.33,0.00415,2008,May18
2008.5,0.00354,2008,Jul7
2008.58,0.00305,2008,Aug21
2008.67,0.00311,2008,Sep25
2008.83,0.00183,2008,Nov14
2008.92,0.00214,2008,Dec14
2009,0.00162,2009,Jan19
2009.08,0.00168,2009,Feb14
2009.25,0.00204,2009,Apr3
2009.42,0.00214,2009,Jun3
2009.5,0.00195,2009,Jul2
2009.58,0.00177,2009,Aug20
2009.75,0.00214,2009,Oct7
2009.92,0.00226,2009,Dec12
2010,0.00244,2010,Jan15
2010.08,0.00226,2010,Feb11
2010.17,0.00244,2010,Mar10
2010.33,0.00201,2010,May9
2010.5,0.00193,2010,Jul25
2010.58,0.00176,2010,Aug26
2010.75,0.00177,2010,Oct7
2010.83,0.00146,2010,Nov16
2010.92,0.00119,2010,Dec10
2011,0.001403,2011,Jan21
2011.08,0.001251,2011,Feb12
2011.33,0.001342,2011,May06
2011.42,0.001219,2011,Jun22
2011.67,0.001007,2011,Sep02
2011.75,0.001037,2011,Oct17
2012,0.000824,2012,Jan12
2012.08,0.000824,2012,Feb13
2012.25,0.000793,2012,Apr08
2012.33,0.000702,2012,May24
2012.58,0.00058,2012,Aug20
2012.62,0.00061,2012,Sep21
2012.83,0.00061,2012,Nov17
2013,0.000458,2013,Jan17
2013.08,0.000518,2013,Feb23
2013.33,0.00058,2013,May18
2013.42,0.000564,2013,Jun30
2013.58,0.000564,2013,Aug09
2013.62,0.000564,2013,Sep07
2013.75,0.000534,2013,Oct16
2013.83,0.000542,2013,Nov10
2013.92,0.000548,2013,Dec23
2014.08,0.000457,2014,Feb08
2014.17,0.000473,2014,Mar13
2014.25,0.000366,2014,Apr10
2014.42,0.000389,2014,Jun19
2014.58,0.000335,2014,Aug02
2014.67,0.000345,2014,Sep13
2014.83,0.000335,2014,Nov11
2015,0.000396,2015,Jan22
2015.08,0.000396,2015,Feb15
2015.25,0.000368,2015,Apr11
2015.33,0.000275,2015,May15
2015.5,0.000145,2015,Jul10
2015.58,0.000236,2015,Aug23
2015.67,0.000274,2015,Sep22
2015.75,0.000229,2015,Oct24
2015.83,0.000221,2015,Nov21
2015.92,0.000214,2015,Dec18
2016.08,0.000228,2016,Feb14
2016.25,0.000214,2016,Apr11
2016.33,0.000214,2016,May18
2016.42,0.000191,2016,Jun20
2016.5,0.000194,2016,Jul22
2016.58,0.000198,2016,Aug22
2016.75,0.000153,2016,Oct15
2016.83,0.000183,2016,Nov15
2016.92,0.00016,2016,Dec21
2017,0.000183,2017,Jan15
2017.17,0.00021,2017,Mar12
2017.33,0.000214,2017,May05
2017.42,0.000236,2017,Jun22
2017.5,0.000233,2017,Jul22
2017.67,0.000233,2017,Sep19
2017.75,0.000233,2017,Oct27
2017.92,0.000214,2017,Dec12
2013.58,0.000719,2013,Aug09
2013.62,0.000687,2013,Sep07
2013.75,0.0007,2013,Oct16
2013.83,0.000625,2013,Nov10
2013.92,0.000629,2013,Dec23
2014.08,0.000587,2014,Feb08
2014.17,0.000504,2014,Mar13
2014.25,0.0005,2014,Apr10
2014.42,0.00043,2014,Jun19
2014.58,0.000417,2014,Aug02
2014.67,0.000375,2014,Sep13
2014.83,0.000391,2014,Nov11
2015,0.000385,2015,Jan22
2015.08,0.000375,2015,Feb15
2015.25,0.000354,2015,Apr11
2015.33,0.000346,2015,May15
2015.5,0.000332,2015,Jul10
2015.58,0.000312,2015,Aug23
2015.67,0.000292,2015,Sep22
2015.75,0.000296,2015,Oct24
2015.83,0.000271,2015,Nov21
2015.92,0.00025,2015,Dec18
2016.08,0.000246,2016,Feb14
2016.25,0.000215,2016,Apr11
2016.33,0.00022,2016,May18
2016.42,0.000203,2016,Jun20
2016.5,0.000208,2016,Jul22
2016.58,0.000208,2016,Aug22
2016.75,0.000229,2016,Oct15
2016.83,0.000234,2016,Nov15
2016.92,0.000229,2016,Dec21
2017,0.00025,2017,Jan15
2017.17,0.00025,2017,Mar12
2017.33,0.000253,2017,May05
2017.42,0.000271,2017,Jun22
2017.5,0.00026,2017,Jul22
2017.67,0.000271,2017,Sep19
2017.75,0.000271,2017,Oct27
2017.92,0.00026,2017,Dec12
2018.08,0.000233,2018,Feb14
2018.17,0.00021,2018,Mar23
2018.33,0.000205,2018,May11
2018.42,0.000179,2018,Jun19
2018.5,0.000178,2018,Jul08
2018.58,0.00015,2018,Aug24
2018.67,0.00014,2018,Sep20
2018.83,0.000125,2018,Nov11
2018.92,0.000104,2018,Dec16
2019,0.000104,2019,Jan17
2019.08,0.000104,2019,Feb11
2019.17,0.000104,2019,Mar17
2019.25,0.000103,2019,Apr21
2019.33,0.0000896,2019,May20
2019.42,0.000086,2019,Jun19
2019.5,0.0000792,2019,Jul18
2019.58,0.0000896,2019,Aug17
2019.67,0.00009,2019,Sep16
2019.75,0.000085,2019,Oct18
2019.83,0.00008,2019,Nov14
2019.92,0.00009,2019,Dec17
2020,0.000085,2020,Jan20
2020.08,0.000099,2020,Feb17
2020.17,0.000095,2020,Mar23
2020.25,0.0001,2020,Apr23
2020.33,0.000096,2020,May23
2020.42,0.000092,2020,Jun21
2020.5,0.00009,2020,Jul18
2020.58,0.0000833,2020,Aug19
2020.67,0.00008,2020,Sep20
2020.75,0.000078,2020,Oct17
2020.83,0.000075,2020,Nov19
2020.92,0.000079,2020,Dec21
2021.08,0.000082,2021,Feb14
2021.25,0.000084,2021,Apr17
2021.33,0.0000864,2021,May17
2021.5,0.00008,2021,Jul11
2021.58,0.000084,2021,Aug16
2021.67,0.000076,2021,Sep18
2021.75,0.000078,2021,Oct20
2021.92,0.0000781,2021,Dec15
2022,0.000076,2022,Jan19
2022.08,0.000076,2022,Feb17
2022.17,0.0000765,2022,Mar18
2022.25,0.000075,2022,Apr23
2022.33,0.000073,2022,May15
2022.42,0.000063,2022,Jun18
2022.58,0.000055,2022,Aug20
2022.67,0.0000524,2022,Sep16
2022.75,0.0000495,2022,Oct18
2022.83,0.00005,2022,Nov08
2022.92,0.000045,2022,Dec18
2023,0.0000425,2023,Jan18
