stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,100,0,0,1.00067,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,2.00068,350,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,3.00068,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,4.00069,348,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,5.0007,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,6.00071,341,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,7.00071,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,8.00071,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,9.00071,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,10.0007,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,11.0007,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,12.0007,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,13.0007,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,14.0008,354,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,15.0008,350,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,16.0008,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,17.0008,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,18.0009,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,19.0009,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,20.0009,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,21.0009,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,22.0009,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,23.0009,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,24.0009,348,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,25.0009,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,26.0009,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,27.0009,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,28.0009,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,29.0009,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,30.0009,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,31.0009,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,32.0011,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,33.0011,351,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,34.0011,355,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,35.0011,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,36.0011,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,37.0011,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,38.0011,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,39.0011,346,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,40.0011,348,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,41.0011,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,42.0012,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,43.0012,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,44.0012,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,45.0012,347,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,46.0012,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,47.0012,351,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,48.0012,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,49.0012,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,50.0012,340,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,51.0012,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,52.0012,344,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,53.0012,341,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,54.0012,345,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,55.0012,353,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,56.0012,349,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,57.0012,343,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,58.0012,342,0,0,0,0,213,0,22,0,0,0
keep,ssd,100,0,0,59.0012,342,0,0,0,0,213,0,22,0,0,0
