stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00366,17,0,224,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00367,16,0,223,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00368,16,0,223,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00369,17,0,222,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00373,17,0,221,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00373,16,0,221,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00375,17,0,221,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00376,16,0,220,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00377,16,0,217,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0038,16,0,219,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0038,16,0,220,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0038,16,0,219,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0038,16,0,220,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0039,16,0,221,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0039,16,0,219,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0039,16,0,220,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0039,16,0,218,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0039,16,0,217,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0039,16,0,219,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.004,16,0,221,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.004,17,0,221,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.004,16,0,223,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.004,16,0,220,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.004,16,0,220,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.004,16,0,222,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0041,16,0,223,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0041,16,0,222,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0042,16,0,222,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0042,16,0,224,0,0,0,0,0,0,0,0
