stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,100,0,0,1.00087,65,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,2.0009,44,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,3.00091,80,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,4.00094,85,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,5.00095,82,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,6.00098,83,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,7.00103,80,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,8.00108,72,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,9.00109,71,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,10.0011,67,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,11.0011,84,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,12.0012,81,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,13.0012,83,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,14.0012,84,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,15.0012,75,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,16.0013,79,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,17.0013,83,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,18.0013,77,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,19.0013,79,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,20.0013,81,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,21.0014,88,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,22.0014,88,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,23.0014,87,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,24.0014,87,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,25.0015,89,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,26.0015,88,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,27.0015,89,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,28.0015,90,0,0,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,29.0015,86,0,0,0,0,0,0,0,0,0,0
