stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,100,0,0,1.00131,49,0,49,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,2.00138,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,3.00146,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,4.00148,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,5.00152,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,6.00154,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,7.00158,49,0,49,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,8.00163,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,9.00177,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,10.0019,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,11.0019,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,12.002,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,13.002,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,14.0021,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,15.0022,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,16.0022,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,17.0023,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,18.0023,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,19.0023,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,20.0023,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,21.0023,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,22.0024,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,23.0025,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,24.0025,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,25.0025,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,26.0026,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,27.0026,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,28.0027,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,29.0027,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,30.0027,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,31.0027,43,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,32.0028,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,33.0028,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,34.0029,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,35.0029,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,36.003,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,37.003,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,38.0031,42,0,42,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,39.0032,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,40.0032,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,41.0032,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,42.0033,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,43.0033,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,44.0034,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,45.0034,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,46.0035,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,47.0035,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,48.0035,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,49.0035,44,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,50.0036,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,51.0037,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,52.0037,48,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,53.0037,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,54.0038,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,55.0038,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,56.0038,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,57.0039,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,58.004,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,59.004,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,60.004,48,0,49,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,61.004,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,62.004,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,63.0041,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,64.0041,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,65.0041,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,66.0042,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,67.0042,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,68.0043,48,0,49,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,69.0044,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,70.0045,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,71.0045,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,72.0046,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,73.0046,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,74.0046,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,75.0046,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,76.0047,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,77.0048,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,78.0048,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,79.0049,50,0,50,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,80.0049,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,81.0049,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,82.005,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,83.0051,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,84.0051,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,85.0052,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,86.0052,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,87.0052,43,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,88.0053,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,89.0054,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,90.0054,50,0,49,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,91.0056,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,92.0056,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,93.0056,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,94.0056,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,95.0056,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,96.0057,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,97.0057,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,98.0057,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,99.0057,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,100.006,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,101.006,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,102.006,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,103.006,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,104.006,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,105.006,43,0,42,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,106.006,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,107.006,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,108.006,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,109.006,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,110.006,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,111.006,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,112.006,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,113.006,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,114.006,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,115.006,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,116.006,44,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,117.006,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,118.006,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,119.006,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,120.006,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,121.006,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,122.006,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,123.006,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,124.006,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,125.007,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,126.007,44,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,127.007,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,128.007,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,129.007,48,0,49,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,130.007,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,131.007,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,132.007,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,133.007,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,134.007,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,135.007,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,136.007,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,137.007,44,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,138.007,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,139.007,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,140.007,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,141.007,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,142.007,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,143.007,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,144.007,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,145.007,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,146.008,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,147.008,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,148.008,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,149.008,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,150.008,43,0,42,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,151.008,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,152.008,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,153.008,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,154.008,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,155.008,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,156.008,42,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,157.008,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,158.008,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,159.008,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,160.008,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,161.008,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,162.008,44,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,163.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,164.009,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,165.009,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,166.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,167.009,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,168.009,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,169.009,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,170.009,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,171.009,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,172.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,173.009,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,174.009,49,0,50,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,175.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,176.009,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,177.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,178.009,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,179.009,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,180.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,181.009,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,182.009,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,183.009,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,184.009,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,185.009,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,186.009,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,187.009,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,188.009,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,189.009,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,190.009,43,0,42,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,191.009,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,192.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,193.009,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,194.009,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,195.009,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,196.009,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,197.009,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,198.009,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,199.009,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,200.009,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,201.009,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,202.01,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,203.01,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,204.01,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,205.01,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,206.01,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,207.01,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,208.01,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,209.01,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,210.01,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,211.01,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,212.01,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,213.01,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,214.01,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,215.01,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,216.01,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,217.01,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,218.01,44,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,219.01,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,220.01,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,221.01,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,222.01,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,223.01,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,224.01,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,225.01,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,226.01,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,227.01,45,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,228.01,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,229.01,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,230.01,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,231.01,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,232.01,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,233.01,47,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,234.01,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,235.01,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,236.01,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,237.01,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,238.01,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,239.01,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,240.01,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,241.01,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,242.01,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,243.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,244.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,245.011,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,246.011,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,247.011,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,248.011,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,249.011,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,250.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,251.011,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,252.011,46,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,253.011,48,0,49,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,254.011,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,255.011,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,256.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,257.011,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,258.011,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,259.011,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,260.011,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,261.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,262.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,263.011,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,264.011,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,265.011,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,266.011,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,267.011,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,268.011,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,269.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,270.011,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,271.011,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,272.011,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,273.011,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,274.011,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,275.011,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,276.011,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,277.012,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,278.012,47,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,279.012,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,280.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,281.012,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,282.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,283.012,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,284.012,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,285.012,44,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,286.012,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,287.012,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,288.012,44,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,289.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,290.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,291.012,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,292.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,293.012,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,294.012,44,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,295.012,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,296.012,46,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,297.012,49,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,298.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,299.012,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,300.012,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,301.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,302.012,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,303.012,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,304.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,305.012,42,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,306.012,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,307.012,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,308.012,47,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,309.012,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,310.012,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,311.012,43,0,43,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,312.012,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,313.012,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,314.012,50,0,50,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,315.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,316.012,45,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,317.012,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,318.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,319.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,320.012,49,0,50,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,321.012,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,322.012,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,323.012,46,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,324.012,45,0,45,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,325.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,326.012,46,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,327.012,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,328.012,48,0,47,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,329.013,45,0,44,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,330.013,47,0,46,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,331.013,48,0,48,0,0,0,0,0,0,0,0
keep,ssd,100,0,0,332.013,46,0,46,0,0,0,0,0,0,0,0
