stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00368,19,0,623,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00403,17,0,563,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00443,17,0,554,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00479,17,0,553,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00517,16,0,549,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00567,16,0,546,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00567,15,0,518,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00569,9,0,319,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00576,13,0,443,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0062,12,0,389,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0064,16,0,523,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0066,15,0,520,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0067,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0069,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0072,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0073,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0076,16,0,523,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.008,16,0,522,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0081,16,0,520,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0083,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0084,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0085,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0088,15,0,523,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0092,16,0,521,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0094,15,0,522,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0098,16,0,522,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.01,16,0,522,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0103,15,0,522,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0107,16,0,522,0,0,0,0,0,0,0,0
