stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00313,33,0,451,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00314,33,0,452,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00317,32,0,429,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00319,33,0,446,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00329,33,0,442,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00374,31,0,428,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00387,31,0,420,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00388,32,0,425,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00435,32,0,426,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.005,31,0,415,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.005,30,0,408,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0054,31,0,415,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0054,30,0,410,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0056,30,0,408,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0058,31,0,409,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0058,31,0,411,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0058,29,0,396,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0059,18,0,253,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.006,14,0,193,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.006,14,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.006,22,0,300,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.006,22,0,305,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.006,22,0,305,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.006,22,0,298,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0061,21,0,286,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0061,22,0,303,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0061,20,0,272,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0061,26,0,343,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0061,15,0,212,0,0,0,0,0,0,0,0
