stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00148,91,0,22,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00151,86,0,21,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00169,86,0,21,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00175,74,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00178,59,0,14,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00178,66,0,16,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00186,72,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.0019,75,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00197,81,0,20,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.002,74,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.002,59,0,15,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0021,47,0,11,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0021,39,0,9,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0022,37,0,9,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0022,66,0,16,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0022,90,0,22,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0022,89,0,22,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0022,88,0,22,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0022,79,0,19,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0023,74,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0023,74,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0023,72,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0023,73,0,18,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0024,84,0,21,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0024,67,0,17,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0025,55,0,13,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0025,43,0,10,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0025,34,0,8,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0025,56,0,14,0,0,0,0,0,0,0,0
