stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00122,0,0,707,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00125,0,0,669,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00143,0,0,654,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00176,0,0,656,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00182,0,0,652,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00219,0,0,593,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00229,0,0,594,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00258,0,0,592,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00261,0,0,591,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.003,0,0,591,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0032,0,0,592,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0035,0,0,591,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0036,0,0,590,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.004,0,0,592,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.004,0,0,592,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0044,0,0,589,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0045,0,0,587,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0047,0,0,587,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0049,0,0,586,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0052,0,0,586,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0055,0,0,586,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.006,0,0,572,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0064,0,0,572,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0068,0,0,572,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0069,0,0,571,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0072,0,0,571,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0074,0,0,571,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0079,0,0,571,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.008,0,0,585,0,0,0,0,0,0,0,0
