stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00073,0,0,1131,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00095,0,0,1142,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00114,0,0,1140,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00133,0,0,1143,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00144,0,0,1136,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00166,0,0,1125,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.0017,0,0,1123,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00199,0,0,1125,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00207,0,0,1123,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0023,0,0,1126,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0024,0,0,1123,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0024,0,0,1122,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0025,0,0,1124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0025,0,0,1124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0026,0,0,1125,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0028,0,0,1124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0028,0,0,1125,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0031,0,0,1125,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0032,0,0,1123,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0034,0,0,1125,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0035,0,0,1121,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0036,0,0,1124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0038,0,0,1126,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0038,0,0,1126,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0039,0,0,1124,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.004,0,0,1123,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0041,0,0,1123,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0041,0,0,1122,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0042,0,0,1123,0,0,0,0,0,0,0,0
