stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00493,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00496,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00497,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00497,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00498,0,0,250,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00499,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00501,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00506,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.0051,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0052,0,0,250,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0052,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0053,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0053,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0053,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0053,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0053,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0053,0,0,247,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0053,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0053,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0053,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0054,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0054,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0054,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0054,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0054,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0055,0,0,249,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0055,0,0,248,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0055,0,0,250,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0055,0,0,248,0,0,0,0,0,0,0,0
