stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.01332,0,0,194,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.01333,0,0,188,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.01333,0,0,185,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.01337,0,0,187,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.01337,0,0,185,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.01338,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.01341,0,0,185,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.01341,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.01343,0,0,187,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0135,0,0,188,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0135,0,0,189,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0135,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0135,0,0,185,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0136,0,0,184,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0136,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0136,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0136,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0136,0,0,185,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0136,0,0,185,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0136,0,0,187,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0137,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0137,0,0,185,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0137,0,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.015,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0151,0,0,186,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0151,0,0,187,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0151,0,0,187,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0152,0,0,187,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0152,0,0,188,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,30.0152,0,0,187,0,0,0,0,0,0,0,0
