stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.0007,0,0,1742,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00078,0,0,1747,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.0008,0,0,1747,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00083,0,0,1747,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00104,0,0,1733,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.00117,0,0,1736,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00117,0,0,1737,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.00121,0,0,1738,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.00124,0,0,1737,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0014,0,0,1739,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0016,0,0,1739,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0017,0,0,1741,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0018,0,0,1741,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0019,0,0,1740,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.002,0,0,1741,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0021,0,0,1743,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0023,0,0,1742,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0025,0,0,1741,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0026,0,0,1742,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0027,0,0,1743,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0027,0,0,1744,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0029,0,0,1744,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.003,0,0,1744,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.003,0,0,1743,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0033,0,0,1743,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0034,0,0,1742,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0035,0,0,1742,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0035,0,0,1741,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0035,0,0,1742,0,0,213,0,22,0,0,0
