stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00116,0,0,2114,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.0012,0,0,2118,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00131,0,0,2118,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00154,0,0,2117,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00167,0,0,2117,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.0018,0,0,2118,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00204,0,0,2121,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.00211,0,0,2121,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.00223,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0024,0,0,2124,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0024,0,0,2122,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0025,0,0,2121,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0026,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0027,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0028,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0029,0,0,2124,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.003,0,0,2125,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0032,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0033,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0034,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0036,0,0,2124,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0036,0,0,2123,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0037,0,0,2124,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0038,0,0,2122,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.004,0,0,2124,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0041,0,0,2124,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0043,0,0,2122,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0043,0,0,2124,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0044,0,0,2122,0,0,213,0,22,0,0,0
