stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00083,0,0,1513,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00086,0,0,1514,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00087,0,0,1515,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00094,0,0,1515,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00099,0,0,1516,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.00111,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00115,0,0,1520,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.0012,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.0012,0,0,1514,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0012,0,0,1512,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0013,0,0,1515,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0014,0,0,1512,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0014,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0015,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0016,0,0,1516,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0016,0,0,1515,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0017,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0017,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0018,0,0,1520,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0019,0,0,1518,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.002,0,0,1519,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0021,0,0,1518,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0021,0,0,1518,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0023,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0023,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0023,0,0,1520,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0024,0,0,1516,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0025,0,0,1517,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0026,0,0,1519,0,0,213,0,22,0,0,0
