stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00065,0,0,1841,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00071,0,0,1847,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00086,0,0,1847,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00088,0,0,1848,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00091,0,0,1849,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.00103,0,0,1847,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00111,0,0,1851,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.00132,0,0,1849,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.00143,0,0,1850,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0015,0,0,1850,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0015,0,0,1851,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0017,0,0,1852,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0017,0,0,1853,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0017,0,0,1851,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0019,0,0,1848,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0019,0,0,1849,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.002,0,0,1849,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0022,0,0,1850,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0023,0,0,1847,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0023,0,0,1847,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0025,0,0,1849,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0026,0,0,1851,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0026,0,0,1850,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0027,0,0,1851,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0028,0,0,1850,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.003,0,0,1849,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0031,0,0,1850,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0031,0,0,1850,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0031,0,0,1850,0,0,213,0,22,0,0,0
