stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.02261,59,0,59,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.02267,42,0,41,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.02268,39,0,38,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.02282,30,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.02282,44,0,44,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.02283,35,0,36,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.02631,54,0,53,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.02633,35,0,36,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.02664,42,0,41,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0303,37,0,38,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0305,38,0,37,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0424,35,0,34,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0517,37,0,38,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0517,43,0,43,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0544,32,0,33,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0544,29,0,29,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0544,51,0,50,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0545,41,0,40,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0545,50,0,50,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0663,34,0,35,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0663,47,0,47,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0743,51,0,50,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0748,38,0,38,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0783,40,0,40,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0783,33,0,33,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0787,50,0,50,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0787,54,0,55,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.0863,40,0,40,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.0983,47,0,47,0,0,213,0,22,0,0,0
