stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00238,98,0,99,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00241,90,0,91,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.00246,103,0,101,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.00249,103,0,103,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.00261,99,0,98,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.00262,97,0,97,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.00263,94,0,93,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.00264,101,0,100,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.00265,103,0,103,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0027,103,0,102,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.0027,98,0,98,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.0028,105,0,104,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.0028,87,0,89,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.0028,92,0,94,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.0028,102,0,101,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.0028,105,0,104,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.0028,100,0,100,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.0028,100,0,99,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.0029,93,0,94,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.0029,103,0,103,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.0029,103,0,102,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,22.0029,104,0,103,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.003,97,0,96,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.003,98,0,98,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.003,95,0,96,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.003,102,0,103,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.003,104,0,103,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.003,100,0,100,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.003,97,0,97,0,0,213,0,22,0,0,0
