stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00124,36,0,35,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,2.00126,2,0,2,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,3.01935,28,0,28,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,4.0194,8,0,8,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,5.01947,21,0,21,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,6.01951,43,0,43,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,7.01989,22,0,22,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,8.02013,23,0,22,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,9.06765,16,0,16,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,10.0677,32,0,33,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,11.3195,24,0,23,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,12.3196,25,0,25,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,13.3198,24,0,24,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,14.3198,21,0,21,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,15.4393,27,0,26,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,16.5275,18,0,19,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,17.5514,30,0,30,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,18.5517,16,0,16,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,19.5526,28,0,28,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,20.5527,7,0,7,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,21.8034,14,0,14,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,23.0194,21,0,21,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,24.0555,28,0,28,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,25.0555,36,0,35,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,26.0555,22,0,21,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,27.0555,31,0,31,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,28.1273,20,0,20,0,0,213,0,22,0,0,0
keep,ssd,10,0,0,29.1715,30,0,30,0,0,213,0,22,0,0,0
