stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00128,0,0,1639,1768466284544,71213476270080,1,42932,0,113,1,0
keep,ssd,10,0,0,2.00138,0,0,1629,1768466284544,71215184621568,1,42932,0,113,1,0
keep,ssd,10,0,0,3.00147,0,0,1630,1768466284544,71216894324736,1,42932,0,113,1,0
keep,ssd,10,0,0,4.0016,0,0,1631,1768466284544,71218604900352,1,42932,0,113,1,0
keep,ssd,10,0,0,5.00171,0,0,1633,1768466284544,71220317892608,1,42932,0,113,1,0
keep,ssd,10,0,0,6.00184,0,0,1634,1768466284544,71222031478784,1,42932,0,113,1,0
keep,ssd,10,0,0,7.00191,0,0,1635,1768466284544,71223746527232,1,42932,0,113,1,0
keep,ssd,10,0,0,8.00193,0,0,1633,1768466284544,71225459789824,1,42932,0,113,1,0
keep,ssd,10,0,0,9.00197,0,0,1634,1768466284544,71227173650432,1,42932,0,113,1,0
keep,ssd,10,0,0,10.002,0,0,1635,1768466284544,71228888539136,1,42932,0,113,1,0
keep,ssd,10,0,0,11.002,0,0,1634,1768466284544,71230602743808,1,42932,0,113,1,0
keep,ssd,10,0,0,12.0021,0,0,1634,1768466284544,71232316362752,1,42932,0,113,1,0
keep,ssd,10,0,0,13.0022,0,0,1634,1768466284544,71234030387200,1,42932,0,113,1,0
keep,ssd,10,0,0,14.0023,0,0,1636,1768466284544,71235745988608,1,42932,0,113,1,0
keep,ssd,10,0,0,15.0024,0,0,1636,1768466284544,71237461684224,1,42932,0,113,1,0
keep,ssd,10,0,0,16.0026,0,0,1635,1768466284544,71239176962048,1,42932,0,113,1,0
keep,ssd,10,0,0,17.0026,0,0,1633,1768466284544,71240889704448,1,42932,0,113,1,0
keep,ssd,10,0,0,18.0026,0,0,1632,1768466284544,71242601951232,1,42932,0,113,1,0
keep,ssd,10,0,0,19.0026,0,0,1631,1768466284544,71244312768512,1,42932,0,113,1,0
keep,ssd,10,0,0,20.0026,0,0,1630,1768466284544,71246022438912,1,42932,0,113,1,0
keep,ssd,10,0,0,21.0028,0,0,1632,1768466284544,71247734022144,1,42932,0,113,1,0
keep,ssd,10,0,0,22.0029,0,0,1633,1768466284544,71249446486016,1,42932,0,113,1,0
keep,ssd,10,0,0,23.0029,0,0,1631,1768466284544,71251157651456,1,42932,0,113,1,0
keep,ssd,10,0,0,24.0029,0,0,1631,1768466284544,71252868554752,1,42932,0,113,1,0
keep,ssd,10,0,0,25.003,0,0,1630,1768466284544,71254577917952,1,42932,0,113,1,0
keep,ssd,10,0,0,26.003,0,0,1631,1768466284544,71256288681984,1,42932,0,113,1,0
keep,ssd,10,0,0,27.0031,0,0,1633,1768466284544,71258001006592,1,42932,0,113,1,0
keep,ssd,10,0,0,28.0032,0,0,1631,1768466284544,71259711234048,1,42932,0,113,1,0
keep,ssd,10,0,0,29.0032,0,0,1633,1768466284544,71261424037888,1,42932,0,113,1,0
