stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00178,0,0,869,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00199,0,0,872,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00219,0,0,872,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00247,0,0,873,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00273,0,0,872,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00298,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00322,0,0,872,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00339,0,0,872,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00354,0,0,872,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0037,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.004,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0041,0,0,872,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0041,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0042,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0042,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0043,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0044,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0046,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0047,0,0,870,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0047,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.005,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0053,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0054,0,0,869,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0056,0,0,870,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0057,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0058,0,0,869,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.006,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0061,0,0,871,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0063,0,0,871,0,0,0,0,0,0,0,0
