stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00133,44,0,174,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00141,45,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.0017,45,0,183,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00179,45,0,180,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00184,44,0,176,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00188,43,0,174,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.0019,43,0,174,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00195,44,0,175,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00198,45,0,176,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.002,43,0,174,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.002,43,0,175,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.002,43,0,173,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0021,44,0,177,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0022,45,0,179,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0022,44,0,179,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0022,44,0,176,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0022,44,0,175,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0022,43,0,174,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0023,44,0,174,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0023,44,0,177,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0025,44,0,179,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0026,44,0,173,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0027,43,0,175,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0027,43,0,174,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.003,46,0,180,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0031,45,0,181,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0031,45,0,182,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0031,44,0,178,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0032,44,0,176,0,0,0,0,0,0,0,0
