stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00315,78,0,115,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00316,78,0,116,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00318,78,0,116,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.0032,69,0,103,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.0033,76,0,113,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00331,77,0,115,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00331,76,0,115,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00336,75,0,114,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00337,79,0,119,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0034,79,0,117,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0034,71,0,107,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0034,76,0,115,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0035,75,0,113,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0035,74,0,114,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0035,75,0,111,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0035,80,0,119,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0035,78,0,116,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0035,75,0,113,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0035,73,0,112,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0035,78,0,116,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0035,75,0,115,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0036,77,0,115,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0036,80,0,119,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0036,79,0,118,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0036,69,0,104,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0036,76,0,113,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0037,77,0,113,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0037,75,0,113,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0037,78,0,116,0,0,0,0,0,0,0,0
