stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00341,98,0,98,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00343,93,0,92,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.00346,93,0,91,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00348,91,0,92,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00353,91,0,91,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00357,89,0,89,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00357,90,0,91,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00358,90,0,91,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00361,92,0,93,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0037,89,0,90,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0037,94,0,93,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0037,89,0,90,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0038,95,0,96,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0038,85,0,85,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.004,93,0,94,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0041,93,0,94,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0041,92,0,92,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0041,96,0,96,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0041,92,0,94,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0041,92,0,92,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0041,88,0,89,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0042,86,0,86,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0042,97,0,97,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0042,91,0,91,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0042,91,0,92,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0042,90,0,91,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0042,87,0,87,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0043,91,0,93,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0043,95,0,96,0,0,0,0,0,0,0,0
