stat,type,filesizeGib,writeFreqDistOn,writeFrequencyZones,time,writeMibs, physMibs,readMibs, physicalMediaUnitsWrittenBytes, physicalMediaUnitsReadBytes, percentFreeBlocks,softECCError, unalignedIO, maxUserDataEraseCount,minUserDataEraseCount, currentThrottlingStatus
keep,ssd,10,0,0,1.00147,125,0,53,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,2.00157,129,0,53,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,3.0016,124,0,53,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,4.00162,115,0,50,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,5.00164,121,0,51,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,6.00164,123,0,53,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,7.00165,125,0,54,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,8.00167,125,0,54,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,9.00168,123,0,51,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,10.0017,125,0,54,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,11.0017,122,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,12.0017,122,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,13.0017,119,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,14.0017,116,0,49,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,15.0017,121,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,16.0017,123,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,17.0017,123,0,53,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,18.0018,115,0,49,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,19.0018,121,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,20.0018,124,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,21.0019,124,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,22.0019,119,0,50,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,23.0019,115,0,49,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,24.0019,123,0,53,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,25.0019,122,0,51,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,26.0019,122,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,27.0019,113,0,49,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,28.0019,123,0,52,0,0,0,0,0,0,0,0
keep,ssd,10,0,0,29.0019,123,0,52,0,0,0,0,0,0,0,0
